Volcano,Latitude,Longitude,Eruption,"Plume style (W, D and S denote weak, distorted and strong plumes respectively, cf Section 3)",Date start (UTC),Vent altitude (m a.s.l.),Plume height (km a.v.l.),Plume height uncertainty (km),Erupted tephra mass (kg),Erupted mass uncertainty (kg),Duration (hrs),Duration uncertainty (hrs),H2O content (wt.%),H2O content uncertainty (wt.%),Brunt-Väisälä frequency (s-1),Average wind speed (m.s-1),Average wind shear (s-1),Near-vent atmospheric temperature (K),Near-vent atmospheric pressure (hPa),Near-vent atmospheric relative humidity (%),Near-vent atmospheric specific humidity (g/kg),References,Comments
,,,,,,,,,,,,,,,,,,,,,,,
Miyakejima,34.094,139.526,August 2000,D,8/9/2000,775,8,1.5,1.20E+09,6.00E+08,4,2,2.2,1.2,0.011136753,5.262379142,0.001159897,295.2901739,926.6468155,69.41844532,0.012503702,"Nakada et al (2005), Geshi and Oikawa (2008), Saito et al (2010)",We assumed 50% uncertainty on erupted mass
,,,,,8/18/00 8:05,775,16,2,1.10E+10,5.00E+09,3.5,0.5,2.2,1.2,0.01170625,8.249606527,0.001020446,295.0989905,921.5616596,84.4908219,0.015104338,"Nakada et al (2005), Geshi and Oikawa (2008), Saito et al (2010)",We assumed 50% uncertainty on erupted mass
,,,,,,,,,,,,,,,,,,,,,,,
Mt St Helens,46.2,-122.18,1980,,5/18/80 18:30,2550,15.5,4,6.00E+11,2.00E+11,9,0.5,1.7,0.6,0.016027033,16.4437028,0.001568036,276.4098947,747.9604322,31.22281365,0.001975807,"Global Volcanism Bulletin (1980), Christiansen et al (1981), Harris et al (1981), Sarna-Wojciki et al (1981), Pyle (1989),Holasek and Self (1995), Bonadonna and Houghton (2005),   U.S.G.S (2005), Bonadonna and Costa (2012), Underwood et al (2013)",The beginning of the eruption is a lateral blast and this event could thus be regarded with care when testing model of volcanic plume with vertical injection. The vent height taken is the one after the eruption as most of the summit was likely blown during the lateral blast phase.
,,,,,5/25/80 10:30,2550,4,1.5,5.80E+10,1.60E+10,19.5,3,1.7,0.6,0.013234073,7.644023373,0.002688167,270.5668127,739.4021486,83.74995909,0.003640504,"Global Volcanism Bulletin (1980), Christiansen et al (1981), Harris et al (1981), Sarna-Wojciki et al (1981), Pyle (1989),Holasek and Self (1995), Bonadonna and Houghton (2005),   U.S.G.S (2005), Underwood et al (2013)",
,,,,,6/13/80 5:11,2550,7.5,4,5.85E+10,1.35E+10,3.5,0.25,1.8,0.2,0.010038136,11.13554891,0.002677207,273.6922739,747.2531091,80.76047374,0.004153153,"Global Volcanism Bulletin (1980), Christiansen et al (1981), Harris et al (1981), Sarna-Wojciki et al (1981), Pyle (1989),Holasek and Self (1995), Bonadonna and Houghton (2005),   U.S.G.S (2005), Underwood et al (2013)", The erupted mass estimate of Sarna-Wojciki et al (1981)  is a minimum estimate because of compaction and the absence of extrapolation. We assume that the actual erupted mass is 30% larger based on differences between  Sarna-Wojciki et al (1981) and Pyle (1989)/Bonadonna and Houghton (2005) for the earlier phases if this eruption. Uncertainty is taken so that the lower bound is the estimate by Sarna-Wojciki et al (1981).
,,,,,7/23/80 3:00,2550,6.5,3,5.20E+09,1.20E+09,2.66,0.25,1,0.4,0.010302596,18.0415293,0.00471544,283.9670372,752.5309615,31.11644175,0.003586097,"Global Volcanism Bulletin (1980), Christiansen et al (1981), Harris et al (1981), Sarna-Wojciki et al (1981), Pyle (1989),Holasek and Self (1995), Bonadonna and Houghton (2005),   U.S.G.S (2005), Underwood et al (2013)","The erupted mass estimate of Sarna-Wojciki et al (1981)  is a minimum estimate because of compaction and the absence of extrapolation. We assume that the actual erupted mass is 30% larger based on differences between  Sarna-Wojciki et al (1981) and Pyle (1989)/Bonadonna and Houghton (2005) for the earlier phases if this eruption. Uncertainty is taken so that the lower bound is the estimate by Sarna-Wojciki et al (1981). The plume height of 3 pulses >12km a.s.l is reported in Harris et al (1981), but height was exceeding 12km a.s.l for no more than 25min (out of 2h40). The average plume height thus likely don’t exceed 12km given height of pulses. We found no other information on plume height and arbitrarly assumed that the 95% lower bound on plume height was 50% below the higher bound resulting in an average plume height of 9 +/- 3 km a.s.l."
,,,2005,D,3/9/05 1:25,2550,6,2.5,2.50E+08,1.25E+08,0.5,0.333,19,16,0.010650721,16.73570329,0.004451072,276.6412751,752.7612138,48.6110103,0.003141988,"Mastin (2007), Matoza, Hedlin and Garcés (2007), Scott, Sherrod and Gardner (2008)",There was very little ash in the plume and Mastin (2007) tests a range of gas content of 0.02-0.35; we choose average gas content and uncertainties matching this range.
,,,,,,,,,,,,,,,,,,,,,,,
Mt Pinatubo,15.13,120.35,June 1991,S,6/12/91 0:51,1750,18,4,1.40E+10,7.00E+09,1,0.33,,,0.012983423,10.1424275,0.000975144,291.8139728,827.5886304,61.25131852,0.009981482,"Paladio-Melosantos et al (1996), Newhall and Punongbayan (1996) , Holasek et al (1996), Hoblitt et al (1996), Koyaguchi and Ohno (2001)",We assumed 50% uncertainty on erupted mass
,,,,,6/15/91 5:30,1750,33.5,4.5,4.00E+12,2.00E+12,6,3,6,2,0.020039661,17.94780468,0.000974724,291.7348075,823.5078641,67.95908024,0.011056058,"Paladio-Melosantos et al (1996), Newhall and Punongbayan (1996) , Holasek et al (1996), Scaillet and Evans (1999), Koyaguchi and Ohno (2001)",We assumed 50% uncertainty on erupted mass. Different interpretation of the duration over which tephra layer C is deposited results in large uncertainty on duration and average plume height.
,,,,,,,,,,,,,,,,,,,,,,,
Mt Redoubt,60.485,-152.742,December 1989,,12/14/89 18:47,3108,7,3.5,7.50E+08,3.50E+08,0.38,0.11,,,0.011983796,31.69427173,0.007260758,261.4267985,687.639294,55.34359895,0.001230612,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994)","Brantley (1990) reports plume heights from visual observations that are thought to be minumum estimates. However, no additional information on plume height is available. We arbitrarly assign a 50% uncertainty."
,,,,S,12/15/89 10:40,3108,9,4.5,2.10E+10,6.00E+09,1,0.3,,,0.013825499,32.47623541,0.006056616,264.3996766,691.6728186,45.08872823,0.001306552,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994)","Brantley (1990) reports plume heights from visual observations that are thought to be minumum estimates. However, no additional information on plume height is available. We arbitrarly assign a 50% uncertainty."
,,,,W,12/19/89 15:30,3108,6,3,5.00E+08,1.00E+08,0.15,0.05,,,0.015036204,16.59783892,0.005322527,256.6255491,673.1916091,30.01912326,0.000464923,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994)","Brantley (1990) reports plume heights from visual observations that are thought to be minumum estimates. However, no additional information on plume height is available. We arbitrarly assign a 50% uncertainty."
,,,March 2009,,3/23/09 7:34,2300,11.5,2,9.60E+09,4.80E+09,1.12,0.3,4.5,0.9,0.017067594,14.15800083,0.001766491,256.7528754,746.5001424,65.89121356,0.000958357,"Wallace et al (2013), Ekstrand et al (2013), Mastin et al (2013), Coombs et al (2013)",This phase corresponds to events 1-4 in Wallace et al (2013). We assumed a 50% uncertainty on erupted mass and 30% uncertainty on total duration.
,,,,,3/23/09 13:30,2300,13.5,3,4.40E+09,2.20E+09,0.33,0.1,4.5,0.9,0.01802678,12.83952721,0.00126774,258.2835578,746.2295351,86.20121529,0.001396439,"Wallace et al (2013), Ekstrand et al (2013), Mastin et al (2013), Coombs et al (2013)",This phase corresponds to event 5 in Wallace et al (2013). We assumed a 50% uncertainty on erupted mass and 30% uncertainty on total duration.
,,,,,3/24/09 4:40,2300,13.5,3,1.51E+10,7.00E+09,0.25,0.08,4.5,0.9,0.017872767,10.82361072,0.001048571,260.7969488,743.2626218,78.0439195,0.001475498,"Wallace et al (2013), Ekstrand et al (2013), Mastin et al (2013), Coombs et al (2013)",This phase corresponds to event 6 in Wallace et al (2013). We assumed a 50% uncertainty on erupted mass and 30% uncertainty on total duration.
,,,,,3/26/09 17:34,2300,16.5,2,4.60E+09,2.30E+09,0.25,0.08,4.5,0.9,0.018290227,8.276158051,0.000969672,259.7770183,734.5291929,62.99049336,0.001176189,"Wallace et al (2013), Ekstrand et al (2013), Mastin et al (2013), Coombs et al (2013)",This phase corresponds to events 7-8 in Wallace et al (2013). We assumed a 50% uncertainty on erupted mass and 30% uncertainty on total duration.
,,,,,3/27/09 8:47,2300,11.5,3,1.32E+10,6.00E+09,0.85,0.26,4.5,0.9,0.016652127,6.806265043,0.001019716,259.1719433,742.6666783,82.65758664,0.001454208,"Wallace et al (2013), Ekstrand et al (2013), Mastin et al (2013), Coombs et al (2013)",This phase corresponds to events 9-18 in Wallace et al (2013). We assumed a 50% uncertainty on erupted mass and 30% uncertainty on total duration.
,,,,,,,,,,,,,,,,,,,,,,,
Mt Ruapehu,-39.28,175.57,1995-1996,,10/11/95 8:00,2500,9.5,2,3.25E+10,1.60E+10,8,1,1.4,0.7,0.012086587,19.17221503,0.003252287,272.110857,747.738289,32.05975934,0.001572897," Global Volcanism Program (1995), Cronin et al (1998),  Hurst and Turner (1999),Kilgour et al (2013)",
,,,,,10/14/95 3:00,2500,9.5,2,6.50E+09,3.30E+09,6.5,1.5,1.4,0.7,0.010585143,21.88648174,0.003669265,274.6054848,750.7666495,73.42482675,0.004053907," Global Volcanism Program (1995), Cronin et al (1998),  Hurst and Turner (1999),Kilgour et al (2013)",
,,,,W,6/16/96 17:30,2500,5.5,2,4.60E+09,2.30E+09,19,2,1.4,0.7,0.009631121,21.18617461,0.006327714,267.6854182,752.8514459,25.71361984,0.0008514," Global Volcanism Program (1995), Cronin et al (1998),  Hurst and Turner (1999),Kilgour et al (2013)",
,,,,,,,,,,,,,,,,,,,,,,,
Nevado del Ruiz,4.892,-75.324,november 1985,,11/14/85 2:09,5400,11.5,6,3.50E+10,2.10E+10,0.83,0.5,3,1,0.010636937,7.125330648,0.001109319,270.1222968,528.4161019,86.15652225,0.004959787,"Global Volcanism Program (1985), Naranjom et al (1986), Voight (1990), Krueger et al (1990), Melson et al (1990)",
,,,,,,,,,,,,,,,,,,,,,,,
Okmok,53.43,-168.13,July 2008,,7/12/08 19:43,1073,13.9,3,1.76E+10,9.00E+09,1.8,0.5,1.7,0.7,0.012997898,11.51206603,0.001357688,283.5086189,889.1692241,87.58523753,0.007838161,"Unema (2001), Larsen et al (2009),   Larsen et al (2013), Larsen et al (2015), personnal communication with Jessica Larsen, Michael Ort and Peter Webley (January 2017)",We assumed 50% uncertainty on erupted mass and +/-3km on the average plume height.
,,,,,7/12/08 21:30,1073,14.5,3,1.03E+11,5.00E+10,2.25,0.5,1.7,0.7,0.013500586,11.48536345,0.001300435,282.9221585,890.1516443,83.51041262,0.007142928,"Unema (2001), Larsen et al (2009),   Larsen et al (2013), Larsen et al (2015), personnal communication with Jessica Larsen, Michael Ort and Peter Webley (January 2017)",We assumed 50% uncertainty on erupted mass and +/-3km on the average plume height.
,,,,,,,,,,,,,,,,,,,,,,,
Popocatepetl,19.023,-98.622,1996-1997,,4/30/96 18:19,5452,4,1,5.30E+08,2.65E+08,0.13,0.03,1.8,0.9,0.011266508,12.21563382,0.005171464,268.3807328,529.0201079,38.52882399,0.001928295,"Global Volcanism Program (1996a), Armienta et al (2002), Atlas et al (2006), Martin-Del Pozzo et al (2008)",We assumed 50% uncertainty on erupted mass
,,,,,10/28/96 15:05,5452,2.75,1,2.00E+07,1.00E+07,0.8,0.1667,1.8,0.6,0.009846641,10.24954676,0.005082812,272.3348986,530.7954803,17.91194652,0.001198027," Global Volcanism Program (1996b), Atlas et al (2006), Martin-Del Pozzo et al (2008),",We assumed 50% uncertainty on erupted mass
,,,,,6/30/97 23:11,5452,8,3,1.10E+09,5.50E+08,2.16,1.5,1.8,0.9,0.009977615,6.284899619,0.001188448,269.2039664,527.247995,82.09332352,0.004409195,"Global Volcanism Program (1997), Atlas et al (2006), Martin-Del Pozzo et al (2008)",We assumed 50% uncertainty on erupted mass
,,,,,,,,,,,,,,,,,,,,,,,
Quizapu,-34.653,-70.761,1932,S,4/10/32 14:00,3788,16,10,1.10E+13,3.00E+12,22,4,5,1,0.016867407,26.14446662,0.002569489,267.7791196,637.6082961,29.33250236,0.001045493,"Hildreth and Drake (1992) , Bonadonna and Houghton (2005) , Ruprecht and Bachmann (2010)",
,,,,,,,,,,,,,,,,,,,,,,,
Reventador,-0.077,-77.656,November 2002,S,11/3/02 12:15,3562,12.5,4,1.35E+11,3.00E+10,1.75,1,5,1,0.010657248,4.61383367,0.000658305,279.4503705,666.4353335,92.50525073,0.008203396,"Global Volcanism Program (2002), Hall et all (2004), Moxey (2005), Samaniego et al (2008),  Ridolfi et al (2008), personnal communication with Jean-Luc Le Pennec (November 2016)",Jean-Luc Le Pennec reported an erupted mass of 1.2-1.5 1011 kg (personnal communication). This range would result in a very small uncertainty and is not based on peer-reviewed results: we arbitrarly doubled the uncertainty.
,,,,,,,,,,,,,,,,,,,,,,,
Santa Maria,14.756,-91.552,1902,,10/25/02 7:00,3772,24,11,4.40E+13,2.20E+13,19,3,3.7,,0.019309398,5.047264471,0.000373426,278.1115949,647.1025554,63.21341367,0.005273127," Williams and Self (1983), Pyle (1989), Bonadonna and Houghton (2005), Sadofsky et al (2008)","We could only find one report of plume height, from visual observation, which we take as our estimate of the average plume height. There are many evidence that this eruption injected large quantities of sulfur gases in the stratosphere and we thus choose the uncertainty so that the lower bound on plume height is the height of the tropopause."
,,,,,,,,,,,,,,,,,,,,,,,
Sarychev Peak,48.092,153.2,,,6/12/09 2:00,1450,8.5,3,3.00E+11,1.50E+11,72,6,,,0.011506505,4.603633398,0.000712198,277.0492239,852.8045133,62.8548317,0.003536785,"Rybin et al (2011), Carn and Lopez (2011), Rybin et al (2012), personnal communication with Peter Webley (January 2016)",We could only find volume estimate and assumed a bulk deposit density of 1000kg/m3 with an uncertainty of 30%
,,,,,,,,,,,,,,,,,,,,,,,
Shinmoedake,31.934,130.862,,,1/26/11 7:10,1421,5.8,1.3,1.14E+10,2.90E+09,3.25,0.75,4.4,2,0.013971816,32.60073959,0.01033998,268.7839855,861.9839754,30.07103412,0.000918388,"Hashimoto et al (2012), Konzono et al (2013), Nakada et al (2013), Suzuki et al (2013), Maeno et al (2014), Marchese et al (2014)",
,,,,W,1/26/11 12:45,1421,3.4,1.3,3.55E+09,8.90E+08,4.50,1,4.4,2,0.014263311,21.53515388,0.010955168,270.6614479,862.9521529,10.16464386,0.000337855,"Hashimoto et al (2012), Konzono et al (2013), Nakada et al (2013), Suzuki et al (2013), Maeno et al (2014), Marchese et al (2014)",
,,,,,1/26/11 17:20,1421,6.1,1,1.50E+10,3.80E+09,2.75,0.25,4.4,2,0.01378384,29.46769015,0.008944685,271.0891777,862.9824696,8.892053547,0.000272875,"Hashimoto et al (2012), Konzono et al (2013), Nakada et al (2013), Suzuki et al (2013), Maeno et al (2014), Marchese et al (2014)",
,,,,,1/27/11 7:20,1421,6,1,8.50E+09,2.10E+09,2.00,0.3,4.4,2,0.01390503,27.34710834,0.008495612,271.4742051,863.1237475,16.87254573,0.000585097,"Hashimoto et al (2012), Konzono et al (2013), Nakada et al (2013), Suzuki et al (2013), Maeno et al (2014), Marchese et al (2014)",
,,,,,,,,,,,,,,,,,,,,,,,
Shishaldin,54.756,-163.67,,,4/19/99 20:15,2857,9,4,3.64E+10,1.50E+10,1.33,0.3333,1.5,0.5,0.016245543,7.435527354,0.001116347,259.9270724,697.5156768,44.8405998,0.00089569,"Global Volcanism Program (1999), Stelling et al (2002), Nye et al (2002)",
,,,,,,,,,,,,,,,,,,,,,,,
Mt Spur,61.299,-152.251,1992,,6/27/92 15:04,2309,10.7,3,3.12E+10,1.50E+10,4,0.33,,,0.012189894,19.17307264,0.002903386,273.5092026,762.096934,88.74428137,0.004507046,"Neal et al (1995), Eichelberg et al (1995),  Gardner et al (1998), Krotkov et al (1999), McGimsey et al (2001),Mankowski et al (2001)",We assumed 50% uncertainty on erupted mass
,,,,S,8/19/92 0:42,2309,11.7,3,3.64E+10,1.80E+10,3.5,0.33,,,0.012848525,16.03870727,0.002376895,272.202723,772.8322527,65.32843375,0.002650926,"Neal et al (1995), Eichelberg et al (1995),  Gardner et al (1998), Krotkov et al (1999), McGimsey et al (2001),Mankowski et al (2001)",We assumed 50% uncertainty on erupted mass
,,,,,9/17/92 8:03,2309,11.7,2,3.90E+10,1.90E+10,3.66,0.33,,,0.013499507,25.43036262,0.00379014,266.9519189,757.3125463,68.64784503,0.002136276,"Neal et al (1995), Eichelberg et al (1995),  Gardner et al (1998), Krotkov et al (1999), McGimsey et al (2001),Mankowski et al (2001)",We assumed 50% uncertainty on erupted mass
,,,,,,,,,,,,,,,,,,,,,,,
Tungurahua,-1.467,-78.442,August 2001,,8/4/01 0:00,5023,3,1,6.00E+09,3.00E+09,408,24,,,0.011977468,6.112511333,0.002490257,272.6324735,555.6725598,61.60758016,0.00399664,"Le Pennec et al (2002), Le Pennec et al (2012)",The eruption style is strombolian style but ash emissions are described as continuous so that we did not discard this eruptive phase from the database.
,,,2006,,8/17/06 2:13,5023,14.5,3,2.49E+10,6.20E+09,2.5,1.5,1.9,1.5,0.013687743,4.795081233,0.000377859,271.0177731,555.7405955,78.31975101,0.004523159,"Steffke et al (2010), Eychenne et all (2012), Hall et al (2013), Myers et al (2014), Bernard et al (2016)",
,,,2013,,7/14/13 11:47,5023,6.7,1.7,6.70E+08,5.00E+07,1.25,0.25,2.5,1.6,0.009882003,7.81305022,0.00187154,272.1904251,555.6408604,61.94067576,0.003858157,"Myers et al (2014), Parra et al (2016)",
,,,,,,,,,,,,,,,,,,,,,,,
Villareca,-39.42,-71.93,March 2015,S,3/3/15 6:07,2847,7,1.5,4.46E+09,1.40E+09,0.666,0.25,,,0.010863776,16.36940472,0.004360266,276.2326897,721.4867268,63.28985902,0.004187251,"Sernageomin (2015), Romero et al (2016)",
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"Cells highlighted in red are uncertainties which we could not constrain from the literature, for which we propose an ""educated"" guess. Please email any question to taubry@eoas.ubc.ca.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
References,,,,,,,,,,,,,,,,,,,,,,,
"Alfano, F., Bonadonna, C., Volentik, A.C., Connor, C.B., Watt, S.F., Pyle, D.M., Connor, L.J., 2011. Tephra stratigraphy and eruptive volume of the May, 2008, Chaitén eruption, Chile. Bull. Volcanol. 73 (5), 613–630. http://dx.doi.org/10.1007/s00445-010-0428-x.",,,,,,,,,,,,,,,,,,,,,,,
"Alfano, F., Bonadonna, C., Watt, S., Connor, C., Volentik, A., Pyle, D.M., 2016. Reconstruction of total grain size distribution of the climactic phase of a long-lasting eruption: the example of the 2008–2013 Chaitén eruption. Bull. Volcanol. 78 (7), 1–21. http://dx.doi.org/10.1007/s00445-016-1040-5.",,,,,,,,,,,,,,,,,,,,,,,
"Andronico, D., Branca, S., Calvari, S., Burton, M., Caltabiano, T., Corsaro, R.A., Del Carlo, P., Garfì, G., Lodato, L., Miraglia, L., et al. 2005. A multi-disciplinary study of the 2002–03 Etna eruption: insights into a complex plumbing system. Bull. Volcanol. 67 (4), 314–330. http://dx.doi.org/10.1007/s00445-004-0372-8.",,,,,,,,,,,,,,,,,,,,,,,
"Andronico, D., Scollo, S., Caruso, S., Cristaldi, A., 2008. The 2002–03 Etna explosive activity: tephra dispersal and features of the deposits. J. Geophys. Res. Solid Earth 113 (B4). http://dx.doi.org/10.1029/2007JB005126.",,,,,,,,,,,,,,,,,,,,,,,
"Andronico, D., Scollo, S., Castro, M.D.L., Cristaldi, A., Lodato, L., Taddeucci, J., 2014. Eruption dynamics and tephra dispersal from the 24 November 2006 paroxysm at South-East crater,Mt Etna, Italy. J. Volcanol. Geotherm. Res. 274, 78–91. http://dx.doi.org/10.1016/j.jvolgeores.2014.01.009.",,,,,,,,,,,,,,,,,,,,,,,
"Andronico, D., Spinetti, C., Cristaldi, A., Buongiorno, M., 2009. Observations of Mt. Etna volcanic ash plumes in 2006: an integrated approach from ground-based and polar satellite NOAA-AVHRR monitoring system. J. Volcanol. Geotherm. Res. 180 (24), 135–147. http://dx.doi.org/10.1016/j.jvolgeores.2008.11.013. Models and products of mafic explosive activity.",,,,,,,,,,,,,,,,,,,,,,,
"Armienta, M., De la Cruz-Reyna, S., Morton, O., Cruz, O., Ceniceros, N., 2002. Chemical variations of tephra-fall deposit leachates for three eruptions from Popocatepetl volcano. J. Volcanol. Geotherm. Res. 113 (1), 61–80. http://dx.doi.org/10.1016/S0377-0273(01)00251-7.",,,,,,,,,,,,,,,,,,,,,,,
"Atlas, Z., Dixon, J., Sen, G., Finny, M., Martin-Del Pozzo, A., 2006. Melt inclusions from Volcán Popocatépetl and Volcán de Colima, Mexico: nelt evolution due to vaporsaturated crystallization during ascent. J. Volcanol. Geotherm. Res. 153 (3), 221–240. http://dx.doi.org/10.1016/j.jvolgeores.2005.06.010.",,,,,,,,,,,,,,,,,,,,,,,
"Baldridge, W.S., McGetchin, T.R., Frey, F.A., Jarosewich, E., 1973. Magmatic evolution of Hekla, Iceland. Contrib. Mineral. Petrol. 42 (3), 245–258. http://dx.doi.org/10.1007/BF00371589.",,,,,,,,,,,,,,,,,,,,,,,
"Belousova, M., Belousov, A., 2001. Frequent basaltic plinian eruptions in the history of Chikurachki volcano, Kurile islands, Russia. XXVI EGS General Assembly, http://www.kscnet.ru/ivs/lavdi/staff/belousov/chikabs.pdf.",,,,,,,,,,,,,,,,,,,,,,,
"Bernard, B., Battaglia, J., Proaño, A., Hidalgo, S., Vásconez, F., Hernandez, S., Ruiz, M., 2016a. Relationship between volcanic ash fallouts and seismic tremor: quantitative assessment of the 2015 eruptive period at Cotopaxi volcano, Ecuador. Bull. Volcanol. 78 (11), 80. http://dx.doi.org/10.1007/s00445-016-1077-5.",,,,,,,,,,,,,,,,,,,,,,,
"Bernard, J., Eychenne, J., Le Pennec, J.-L., Narváez, D., 2016b. Mass budget partitioning during explosive eruptions: insights from the 2006 paroxysm of Tungurahua volcano, Ecuador. Geochem. Geophys. Geosyst. 17 (8), 3224–3240.",,,,,,,,,,,,,,,,,,,,,,,
"Bitar, L., Duck, T., Kristiansen, N., Stohl, A., Beauchamp, S., 2010. Lidar observations of Kasatochi volcano aerosols in the troposphere and stratosphere. J. Geophys. Res. Atmos. 115 (D2). http://dx.doi.org/10.1029/2009JD013650.",,,,,,,,,,,,,,,,,,,,,,,
"Bonadonna, C., Cioni, R., Pistolesi, M., Elissondo, M., Baumann, V., 2015b. Sedimentation of long-lasting wind-affected volcanic plumes: the example of the 2011 rhyolitic Cordón Caulle eruption, Chile. Bull. Volcanol. 77 (2), 13. http://dx.doi.org/10.1007/s00445-015-0900-8.",,,,,,,,,,,,,,,,,,,,,,,
"Bonadonna, C., Genco, R., Gouhier, M., Pistolesi, M., Cioni, R., Alfano, F., Hoskuldsson, A., Ripepe, M., 2011. Tephra sedimentation during the 2010 Eyjafjallajökull eruption (Iceland) from deposit, radar, and satellite observations. J. Geophys. Res. Solid Earth 116 (B12). http://dx.doi.org/10.1029/2011JB008462.",,,,,,,,,,,,,,,,,,,,,,,
"Bonadonna, C., Houghton, B., 2005. Total grain-size distribution and volume of tephrafall deposits. Bull. Volcanol. 67 (5), 441–456. http://dx.doi.org/10.1007/s00445-004-0386-2.",,,,,,,,,,,,,,,,,,,,,,,
"Bourdier, J.-L., Pratomo, I., Thouret, J.-C., Boudon, G., Vincent, P.M., 1997. Observations, stratigraphy and eruptive processes of the 1990 eruption of Kelut volcano, Indonesia. J. Volcanol. Geotherm. Res. 79 (3), 181–203. http://dx.doi.org/10.1016/S0377-0273(97)00031-0.",,,,,,,,,,,,,,,,,,,,,,,
"Brantley, S.R., 1990. The Eruption of Redoubt Volcano, Alaska, December 14, 1989–August 31, 1990.",,,,,,,,,,,,,,,,,,,,,,,
"Carn, S., Lopez, T., 2011. Opportunistic validation of sulfur dioxide in the Sarychev Peak volcanic eruption cloud. Atmos. Meas. Tech. 4 (9), 1705–1712. http://dx.doi.org/10.5194/amt-4-1705-2011.",,,,,,,,,,,,,,,,,,,,,,,
"Carn, S.A., Pallister, J.S., Lara, L., Ewert, J.W., Watt, S., Prata, A.J., Thomas, R.J., Villarosa, G., 2009. The unexpected awakening of Chaitén volcano, Chile. Eos. Trans. AGU 90 (24), 205–206. http://dx.doi.org/10.1029/2009EO240001.",,,,,,,,,,,,,,,,,,,,,,,
"Carter, A.J., Girina, O., Ramsey,M.S., Demyanchuk, Y.V., 2008. ASTER and field observations of the 24 December 2006 eruption of Bezymianny volcano, Russia. Remote Sens. Environ. 112 (5), 2569–2577. http://dx.doi.org/10.1016/j.rse.2007.12.001.",,,,,,,,,,,,,,,,,,,,,,,
"Cassidy, M., Helo, C., Castro, J., Muir, D., Troll, V., 2015. The magmatic conditions, from storage to surface preceding effusive and explosive eruptions at Kelud volcano. AGU Fall Meeting Abstracts. http://adsabs.harvard.edu/abs/2015AGUFM.V13B3107C.",,,,,,,,,,,,,,,,,,,,,,,
"Castro, J., Lowenstern, J., Pallister, J., Eichelberger, J., 2010. Simultaneous explosive and effusive activity at Chaitén volcano, Chile. AGU Fall Meeting Abstracts. URL 2010AGUFM.V34B.08C.",,,,,,,,,,,,,,,,,,,,,,,
"Caudron, C., Taisne, B., Garcés, M., Alexis, L.P., Mialle, P., 2015. On the use of remote infrasound and seismic stations to constrain the eruptive sequence and intensity for the 2014 Kelud eruption. Geophys. Res. Lett. 42 (16), 6614–6621. http://dx.doi.org/10.1002/2015GL064885.",,,,,,,,,,,,,,,,,,,,,,,
"Christiansen, R.L., Peterson, D.W., 1981. Chronology of the 1980 eruptive activity. US Geol. Surv. Prof. Pap 1250, 17–30.",,,,,,,,,,,,,,,,,,,,,,,
"Collins, S., Pyle, D., Maclennan, J., 2009.Melt inclusions track pre-eruption storage and dehydration of magmas at Etna. Geology 37 (6), 571–574. http://dx.doi.org/10.1130/G30040A.1.",,,,,,,,,,,,,,,,,,,,,,,
"Coombs, M., Sisson, T., Bleick, H., Henton, S., Nye, C., Payne, A., Cameron, C., Larsen, J., et al. 2013. Andesites of the 2009 eruption of Redoubt Volcano, Alaska. J. Volcanol. Geotherm. Res. 259, 349–372. http://dx.doi.org/10.1016/j.jvolgeores.2012.01.002.",,,,,,,,,,,,,,,,,,,,,,,
"Corradini, S., Merucci, L., Prata, A., Piscini, A., 2010. Volcanic ash and SO2 in the 2008 Kasatochi eruption: retrievals comparison from different IR satellite sensors. J. Geophys. Res. Atmos. 115 (D2). http://dx.doi.org/10.1029/2009JD013634.",,,,,,,,,,,,,,,,,,,,,,,
"Costa, F., Andreastuti, S., de Maisonneuve, C.B., Pallister, J.S., 2013. Petrological insights into the storage conditions, and magmatic processes that yielded the centennial 2010 Merapi explosive eruption. J. Volcanol. Geotherm. Res. 261, 209–235. http://dx.doi.org/10.1016/j.jvolgeores.2012.12.025.",,,,,,,,,,,,,,,,,,,,,,,
"Cronin, S., Hedley, M., Neall, V., Smith, R., 1998. Agronomic impact of tephra fallout from the 1995 and 1996 Ruapehu Volcano eruptions, New Zealand. Environ. Geol. 34 (1), 21–30. http://dx.doi.org/10.1007/s002540050253.",,,,,,,,,,,,,,,,,,,,,,,
"Eichelberger, J., Keith, T., Miller, T., Nye, C., 1995. The 1992 eruptions of Crater Peak vent, Mount Spurr volcano, Alaska: chronology and summary. US Geol. Surv. Bull 2139, 1–18.",,,,,,,,,,,,,,,,,,,,,,,
